key,title,summary,actions
digital_disadvantage,"Digital navigation support","Close broadband/device gaps driving adherence issues.","Enroll member in low-cost internet/device program | Schedule telehealth coaching to build portal fluency"
health_access_score,"Care access concierge","Improve access to clinics and reduce appointment drop-off.","Arrange ride-share or mobile clinic visit | Proactively co-schedule PCP + SDOH wraparound visit"
commute_hardship_index,"Transportation stipend","Offset long commutes impacting visit adherence.","Issue monthly transit vouchers or fuel card | Bundle remote monitoring kit to limit site visits"
mean_commute,"Transportation stipend","Offset long commutes impacting visit adherence.","Issue monthly transit vouchers or fuel card | Bundle remote monitoring kit to limit site visits"
transit_dependency,"Transportation stipend","Offset long commutes impacting visit adherence.","Issue monthly transit vouchers or fuel card | Bundle remote monitoring kit to limit site visits"
car_access_risk,"Same-day pharmacy delivery","Solve last-mile barriers when transportation is limited.","Enable courier/mail delivery for maintenance meds | Bundle meds with adherence packaging for easy dosing"
food_insecurity_index,"Food security referral","Stabilize nutrition to support medication adherence.","Auto-refer to local pantry and SNAP navigator | Enroll in medically tailored meals pilot"
housing_instability,"Housing stabilization support","Reduce instability to prevent risk spikes.","Partner with housing nonprofit for rental assistance | Add community health worker visits for tenancy coaching"
income_weighted_index,"Medication affordability concierge","Remove copay barriers and keep fills on time.","Enroll member in manufacturer copay/340B savings | Swap to 90-day low-cost formulary alternative when possible"
income_inequality,"Medication affordability concierge","Remove copay barriers and keep fills on time.","Enroll member in manufacturer copay/340B savings | Swap to 90-day low-cost formulary alternative when possible"
per_capita_income,"Medication affordability concierge","Remove copay barriers and keep fills on time.","Enroll member in manufacturer copay/340B savings | Swap to 90-day low-cost formulary alternative when possible"
education_score,"Medication literacy coaching","Boost understanding of therapy importance and timing.","Pharmacist-led teach-back session focused on regimen | Provide bite-sized digital reminders and plain-language tip sheets"
labor_market_hardship,"Shift-friendly pharmacy outreach","Accommodate work instability that disrupts refills.","Offer after-hours pharmacist callback or text refill approvals | Auto-enroll in mail delivery with flexible drop windows"
social_isolation_index,"Peer adherence ambassador","Address isolation with supportive accountability.","Pair member with community health worker for weekly touchpoints | Invite member to virtual medication coaching circle"
environmental_burden,"Home environment safety kit","Reduce environmental triggers that derail therapy.","Mail air-quality or pill-storage kits to stabilize meds | Coordinate nurse visit to review safe medication storage"
rurality_index,"Telepharmacy check-ins","Bring pharmacy coaching to rural members virtually.","Schedule monthly video adherence visit | Ship smart devices if member lacks equipment"
pharmacy_sync_program,"90-day medication synchronization","Align all chronic meds to a single refill date.","Convert eligible meds to 90-day mail order | Activate automatic refill reminders tied to sync date"
smart_blister_pack,"Smart adherence packaging","Use blister packs or dispensers to prevent missed doses.","Enroll in pill-pack service with AM/PM labeling | Provide dispenser with text/app alerts when doses are missed"
adherence_alerts,"Real-time refill alerting","Proactively escalate when refills are overdue.","Trigger IVR/SMS nudges 3 days prior to run-out | Route late fills to pharmacist outreach queue"
behavioral_coaching,"Behavioral adherence coaching","Blend motivational interviewing with HEDIS education.","Schedule pharmacist MI session focused on beliefs about meds | Set shared adherence goals tied to STAR incentives"
pharmacy_delivery,"Same-day pharmacy delivery","Solve last-mile barriers when transportation is limited.","Enable courier/mail delivery for maintenance meds | Bundle meds with adherence packaging for easy dosing"
