member,income_weighted_index,income_inequality,per_capita_income,education_score,labor_market_hardship,housing_instability,car_access_risk,mean_commute,commute_hardship_index,transit_dependency,food_insecurity_index,health_access_score,digital_disadvantage,social_isolation_index,environmental_burden,rurality_index
M01420,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01620,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00205,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00170,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01258,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00967,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01244,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01917,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00777,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00487,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00286,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00139,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00495,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00449,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01767,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00748,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02156,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00663,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01815,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00194,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00200,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00915,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02257,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00057,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01277,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00174,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00023,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01635,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01055,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00872,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01557,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00032,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01588,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01915,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00226,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01556,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01893,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00911,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00451,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00427,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00203,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00411,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M02135,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01034,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01027,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00151,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01482,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02269,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02107,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M02238,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02071,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02131,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00132,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M02172,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00884,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
